subject,canonical,candidate,decision,confidence,review_source,binding_status,reason,fact_id
main/melee/it/kinds/itfflowerflame:itFflowerflame_UnkMotion3_Phys,itFflowerflame_UnkMotion3_Phys,,ambiguous,0.91,audit-2,function_binding_required,Candidate collides with another proposed name in the same translation unit.,fact:0002e868-7edd-46a6-afb7-916dcee810d8
main/melee/if/if_2FF2:un_802FF6A0,un_802FF6A0,ifCoGet_CreateLight,normalize,0.7,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:000a304c-3aa2-45ad-a454-99f932f56b7b
main/melee/gr/gricemt:fn_801F91A8,fn_801F91A8,grIceMt_GetNextFieldGObjId,normalize,0.72,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00155d8b-74a3-4153-a42e-8147f53ff367
main/melee/if/ifcoget:fn_802FED14,fn_802FED14,ifCoGet_Proc,normalize,0.82,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0032cc62-acbc-4a4f-b4a5-687d2dc6c6fe
main/melee/ft/kinds/ftMars/ftmarsspecials:ftMs_SpecialS_80137A68,ftMs_SpecialS_80137A68,ftMs_SpecialS2_AttackBookkeeping,normalize,0.72,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:0033adc2-36bd-4a7e-84b1-2a3742fc71ea
main/melee/it/kinds/itwhispyapple:it_802EEF10,it_802EEF10,itWhispyApple_Logic18_Reflected,normalize,0.9,audit-4,function_binding_required,source explicitly states this candidate,fact:003ab0f8-bc59-4aac-a3b0-a4cda1e0cddc
main/melee/gm/gmstamina:gm_801B931C,gm_801B931C,gm_PrepStaminaVSScene,normalize,0.75,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:003d557b-c355-461a-8e00-54fe420ad878
main/melee/gm/gmresult:fn_80174468,fn_80174468,gmResultPopulateStatsRow,normalize,0.78,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:0040ba54-d2cc-46c5-9133-0abac6c157a6
main/melee/it/kinds/itegg:it_80288E6C,it_80288E6C,itEgg_UnkMotion0,normalize,0.84,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:00419aa4-5fff-4d98-9dd3-58b88b0fd365
main/melee/ft/ftbosslib:ftBossLib_8015C4C4,ftBossLib_8015C4C4,ftBossLib_GetCrazyHandActionState,normalize,0.75,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:0052089b-cd16-4812-81a1-eb54405a0943
main/melee/lb/lbaudio_ax:fn_800267B0,fn_800267B0,lbAudioAx_EvictUnusedSFX,normalize,0.78,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:005f6953-0fa4-420e-bd7a-d2e5816079c1
main/melee/gr/grhomerun:grHomeRun_8021E494,grHomeRun_8021E494,grHomeRun_Ground9_OnDestroy,normalize,0.74,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00626bcb-f1eb-4ae1-adcf-9eba1b9800df
main/melee/ft/kinds/ftCommon/ftCo_Damage:ftCo_Damage_CheckAirMotion,ftCo_Damage_CheckAirMotion,ftCo_Damage_CheckVCancel,normalize,0.78,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:006ef421-3a13-47ac-8e63-3e7807b8ce09
main/melee/it/kinds/itcrazyhandbomb:it_802F10F8,it_802F10F8,itCrazyHandBomb_UnkMotion0_Init,normalize,0.76,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:00845de7-3db9-453a-8edf-ee0fc253817f
main/melee/it/kinds/itcoin:it_802F2094,it_802F2094,itCoin_Spawn,normalize,0.78,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:0084daa8-5820-4eda-a4e8-fafc0d564442
main/melee/ft/kinds/ftKirby/ftkirbycaptureyoshi:fn_8010A930,fn_8010A930,ftCo_CaptureKirbyYoshi_Enter,normalize,0.86,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:008d1724-aedc-4a2c-998d-c241db6d058d
main/melee/gm/gm_17C0:fn_8017C7EC,fn_8017C7EC,gm_SetPushOnTimeLimit,normalize,0.84,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:009062a5-395d-45a0-bf61-aeb47ddab0e4
main/melee/mn/mnitemsw:mnItemSw_802351A0,mnItemSw_802351A0,mnItemSw_CreateMenuGObj,normalize,0.79,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00949288-b961-4840-ae4b-eaa6eb7ae7f6
main/melee/gm/gmevent:gm_801BEA88,gm_801BEA88,gmEvent_SetPlayerCpuTypeAndGiantScale,normalize,0.7,audit-1,function_binding_required,Explicit proposed identifier; prefix or duplicate flags do not change extraction.,fact:00964bef-bc6e-495c-bb12-349cec7e39fd
main/melee/gm/gmregclear:fn_8017F294,fn_8017F294,gmRegClearGetTotalScore,normalize,0.76,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:009ae3db-19ad-4d7d-b411-d046f17d77bc
main/melee/pl/plbonuslib:pl_80040048,pl_80040048,plBonusLib_RecordCliffCatch,normalize,0.67,audit-4,function_binding_required,source explicitly states this candidate,fact:009d1c1a-d360-45b4-b856-91d34bc5cf41
main/melee/ft/kinds/ftMasterHand/ftmasterhandbackdisappear:ftMh_MS_372_801542E0,ftMh_MS_372_801542E0,ftMh_Wait1_1_Enter,normalize,0.82,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:009f0840-d620-4bfb-8bb2-40e90e2ecbc3
main/melee/gr/grgreatbay:grGreatBay_801F55F8,grGreatBay_801F55F8,grGreatBay_Tingle_Callback1,ambiguous,0.75,audit-1,function_binding_required,Text leaves competing proposed names unresolved.,fact:00a105ae-2a8c-4ec6-9d57-75e36b287218
main/melee/it/kinds/itkamex:itKamex_UnkMotion1_Anim,itKamex_UnkMotion1_Anim,itKamex_HydroPumpLoop_Anim,normalize,0.84,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:00a392d8-bba2-4ab9-8585-59d35c601cb8
main/melee/if/ifhazard:un_802FD90C,un_802FD90C,ifHazard_Free,normalize,0.74,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:00a7c242-ef0a-4272-a7bd-adf8becbfa3c
main/melee/ft/ftcpuattack:ftCo_800B9790,ftCo_800B9790,ftCo_CpuSelectNessAttack,normalize,0.76,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:00b00b75-c6ea-4e78-9325-eec33d8afdc7
main/melee/if/ifmagnify:ifMagnify_802FBBDC,ifMagnify_802FBBDC,ifMagnify_CaptureFighters,normalize,0.78,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00cc577c-47ba-4e74-8904-80862dc6edf8
main/melee/ft/ftwalkcommon:ftWalkCommon_800DFC70,ftWalkCommon_800DFC70,ftWalkCommon_CheckInput,normalize,0.86,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:00ccfbe0-2a65-4e07-9698-abfa4c5a333f
main/melee/it/kinds/itlgunray:it_802982AC,it_802982AC,itLgunray_Init,normalize,0.76,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:00ce3467-b85e-432a-9114-3f9699d08ce1
main/melee/it/kinds/itstarrod:it_80292488,it_80292488,itStarrod_UnkMotion1,normalize,0.82,audit-4,function_binding_required,source explicitly states this candidate,fact:00ce7ca9-1a57-43c5-849a-761263a4a9da
main/melee/it/itmaplib:it_80276FC4,it_80276FC4,itMap_ApplyReboundEffects,normalize,0.53,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:00cf665c-4299-43de-af4f-f5050b64913f
main/melee/lb/lbmthp:fn_8001F2A4,fn_8001F2A4,lbMthp_AlarmCallback,normalize,0.88,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00cfeb62-0b42-4b2f-b143-54f5c0203a89
main/melee/gr/ground:Ground_801C247C,Ground_801C247C,Ground_GetSpline,normalize,0.86,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00db407b-3d7c-4d1e-9e7f-f3114ee561dc
main/melee/gr/groldyoshi:grOldYoshi_8020E978,grOldYoshi_8020E978,grOldYoshi_GObj1_OnInit,normalize,0.87,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:00e2798d-cfc2-4caf-84c3-de57876eac6a
main/melee/gr/grtlink:grTLink_80221AF0,grTLink_80221AF0,stageGObj0_Callback3,normalize,0.95,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:00e3cd06-f82e-44ca-a39b-d2bdf7912485
main/melee/it/it_2725:it_80274EE8,it_80274EE8,it_IncrementFoodSpawnCount,normalize,0.72,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:00e72ee8-f885-4671-861c-fce0fb03e885
main/melee/ft/fighter:Fighter_UnkUpdateCostumeJoint_800686E4,Fighter_UnkUpdateCostumeJoint_800686E4,Fighter_LoadCostumeJoint,normalize,0.74,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:00e98f8b-3763-4a1d-9418-16563c8c3439
main/melee/ft/kinds/ftCommon/ftCo_CatchAttack:fn_800DA618,fn_800DA618,ftCo_CatchAttack_LeaveGround,normalize,0.8,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:00f56eec-0385-4391-aae1-5e8ac5a34a95
main/melee/vi/vi1201v2:un_80320508,un_80320508,vi1201v2_SetupPlayer,normalize,0.69,audit-4,function_binding_required,source explicitly states this candidate,fact:00f5e115-25be-4ce8-8d14-b3a9f3ee3b41
main/melee/lb/lbaudio_ax:lbAudioAx_80024C84,lbAudioAx_80024C84,lbAudioAx_ResetTransientState,normalize,0.72,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00f6f531-b6d6-499c-afe3-18b306267561
main/melee/mp/mplib:mpLib_80058044,mpLib_80058044,mpJointDeactivateIslands,normalize,0.78,audit-4,function_binding_required,source explicitly states this candidate,fact:00f716b9-4da2-4f0e-82e6-a1b4167f9741
main/melee/ft/kinds/ftKirby/ftkirbyspecialseak:ftKb_SpecialNSk_8010603C,ftKb_SpecialNSk_8010603C,ftKb_SpecialNSk_CheckAndDestroyNeedles,normalize,0.88,regex_no_flags,function_binding_required,Recognized name_statement form; no lexical audit flags.,fact:00fd156a-c5ea-4779-b53c-8c18defd1d3c
main/melee/it/kinds/itevyoshiegg:itEvyoshiegg_UnkMotion3_Phys,itEvyoshiegg_UnkMotion3_Phys,itEvYoshiEgg_Thrown_Phys,normalize,0.9,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:010626d6-bcce-4e65-b9ee-7b9fe0f84f88
main/melee/gr/grtganon:grTGanon_802248A4,grTGanon_802248A4,stageGObj0_Callback3,normalize,0.95,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:0109a3a4-0a75-468b-a262-5c245f5a2002
main/melee/lb/lbaudio_ax:lbAudioAx_8002411C,lbAudioAx_8002411C,lbAudioAx_PlaySFXOnChannel6,normalize,0.66,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:01278c8a-6413-44c3-9d14-21e9e9ba979f
main/melee/gr/grtseak:grTSeak_80223A7C,grTSeak_80223A7C,stageGObj2_Callback1,normalize,0.98,audit-2,function_binding_required,Single explicit identifier proposal; prefix change is not an extraction defect.,fact:013072a5-c61c-4ab3-bb95-18450ae50183
main/melee/it/kinds/ittarucann:it_3F14_Logic5_Dropped,it_3F14_Logic5_Dropped,itTaruCann_Logic5_Dropped,normalize,0.95,audit-4,function_binding_required,source explicitly states this candidate,fact:0141c2a3-f02c-4c2b-8986-12424e5ec473
main/melee/pl/plbonuslib:pl_8003E854,pl_8003E854,plBonusLib_RecordItemAcquisition,normalize,0.76,audit-4,function_binding_required,source explicitly states this candidate,fact:0150e329-9bcb-417a-bb31-0375ad92eefd
main/melee/gm/gmmultiman:gm_801B81A8,gm_801B81A8,gm_Mode_EndlessVs_ExitCss,normalize,0.72,regex_no_flags,function_binding_required,Recognized identifier form; no lexical audit flags.,fact:016529b8-9d12-4d48-b48c-cd8cff9fa88f
main/melee/gr/grvenom:grVenom_80203B18,grVenom_80203B18,grVenom_Init,normalize,0.82,regex_no_flags,function_binding_required,Recognized likely_prefix form; no lexical audit flags.,fact:0166f4ff-9104-4c22-bb15-92798b33c2c0
main/melee/mp/mpcoll:mpColl_80049EAC_LeftWall,mpColl_80049EAC_LeftWall,mpCollResolveLeftFacingWall,normalize,0.72,audit-4,function_binding_required,source explicitly states this candidate,fact:01672876-fc12-4518-a462-7c90b3076a44
main/melee/it/kinds/itscball:it_80294B58,it_80294B58,itScball_EnterFall,normalize,0.87,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:01673678-ab4b-4633-9ddc-df6caea6f887
main/melee/it/kinds/itheiho:it_802D8618,it_802D8618,itHeiho_Spawn,normalize,0.82,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:016fdb66-024c-42c2-bd46-3a7b1601d81a
main/sysdolphin/baselib/debugconsole_main:hsd_80396884,hsd_80396884,DrawMemoryAddressInput,normalize,0.72,audit-4,function_binding_required,source explicitly states this candidate,fact:01706273-ecbf-4406-a1ad-59b3f10cffb3
main/melee/it/kinds/itnessyoyo:it_802BFAFC,it_802BFAFC,itNessyoyo_UpdateLinkTransforms,normalize,0.7,audit-3,function_binding_required,Original statement supplies one extractable identifier; prefix changes and repeated semantic names do not alter extraction.,fact:01728596-b09a-494a-8f47-ae31d9b9679f
