id,target_id,entity_id,type,value,rationale,confidence,updated_at,symbol,stable_key,unit,target_kind,target_status,entity_kind,locator,entity_status,matched_in
fact:00b15133-e8c0-4e94-85e9-15213040f463,target:function:main/melee/ft/kinds/ftCommon/ftCo_0A01:ftCo_800A2040,,game_mapping,"Implements an eligibility gate for computer-controlled fighter behavior: fighters not classified for CPU participation, and Cpu-classified fighters in excluded internal mode 5, do not enter the ordinary common CPU update through its scheduled fighter-process caller.","The predicate ties eligibility to Gm_PKind_Cpu and one internal CPU-mode exclusion, and its caller dispatches the common CPU update only after that predicate succeeds. SmashWiki independently identifies CPU settings as controls over computer-controlled player behavior, grounding the code path in the visible CPU-fighter mechanic without assigning an unsupported gameplay name to internal mode 5.",0.96,2026-09-02T13:58:19.659Z,ftCo_800A2040,main/melee/ft/kinds/ftCommon/ftCo_0A01:ftCo_800A2040,main/melee/ft/kinds/ftCommon/ftCo_0A01,function,current,,,,rationale
fact:027822d9-131a-46d3-ac8e-4df5fe3666d8,target:function:main/melee/ft/kinds/ftPurin/ftpurin:ftPr_Init_OnKnockbackExit,,purpose,"Serves as Jigglypuff's character-level adapter for the fighter framework's knockback-exit event, delegating the event to the shared fighter knockback-exit handler with its boolean mode enabled.","The complete function consists solely of forwarding its game-object argument to Fighter_OnKnockbackExit with constant 1. Exact-shape knockback-exit analogs for other fighters have the same adapter structure, supporting delegation rather than character-local knockback calculation; the Purin name is independently identified with Jigglypuff.",0.99,2026-09-02T02:15:02.225Z,ftPr_Init_OnKnockbackExit,main/melee/ft/kinds/ftPurin/ftpurin:ftPr_Init_OnKnockbackExit,main/melee/ft/kinds/ftPurin/ftpurin,function,current,,,,rationale
fact:03196bb7-6abb-43d9-ac66-cbf4433717c1,target:function:main/melee/it/kinds/itstarrod:itStarrod_UnkMotion4_Anim,,purpose,Provides the animation-update callback for Star Rod item motion state 4 as a deliberate no-op predicate: it performs no animation-side work and always returns false.,The complete matched function is explicitly named as the motion-4 animation callback and consists solely of an unconditional false return. The ItemStateTable typing pull request independently supports interpreting this function shape as an item-state callback rather than a general Boolean query.,0.98,2026-09-02T01:17:00.176Z,itStarrod_UnkMotion4_Anim,main/melee/it/kinds/itstarrod:itStarrod_UnkMotion4_Anim,main/melee/it/kinds/itstarrod,function,current,,,,rationale
fact:05503782-cbce-4e1f-a183-a709c653e337,target:data:main/melee/gr/grdisplay:.data,,purpose,Provides the translation-unit-local initialized constants needed by grdisplay's matched scene-display code.,"The section was completed specifically during the substantial source reconstruction of grDisplay_801C5DB0. This supports a role as static supporting data for the display routines, while the available evidence does not justify assigning individual semantic names to its contents.",0.83,2026-09-02T08:02:30.583Z,.data,main/melee/gr/grdisplay:.data,main/melee/gr/grdisplay,data,current,,,,rationale
fact:059f3a63-6033-4857-8056-faff5f2d2833,target:data:main/melee/vi/vi0401:.sdata,,game_mapping,Identifies the primary visual-scene descriptor used to stage the intro cutscene for the Brinstar portion of Adventure Mode.,The current code uses this name to load the principal visual scene for Vi0401 and constructs the sequence from that descriptor.,0.96,2026-09-04T21:29:08.619Z,.sdata,main/melee/vi/vi0401:.sdata,main/melee/vi/vi0401,data,current,,,,rationale
fact:06b75c3f-f217-4a02-a924-897fa77ec58f,target:function:main/melee/lb/lbcardnew:lb_8001C0F4,,purpose,"Builds and submits a memory-card task sequence that exchanges the filenames of two existing files by using a third temporary filename: first A is renamed to C, then B to A, and finally C to B.","The function constructs three opcode-6 tasks containing the ordered name pairs A/C, B/A, and C/B. The dispatcher maps opcode 6 to lb_8001AAE4, and that helper directly invokes CARDRenameAsync with the task's old and new names. Together these sources establish a three-step filename swap rather than file-content copying.",0.98,2026-09-02T08:02:16.772Z,lb_8001C0F4,main/melee/lb/lbcardnew:lb_8001C0F4,main/melee/lb/lbcardnew,function,current,,,,value
fact:0796ed8c-2a1b-4e34-81a0-79540ab4a8fe,target:function:main/melee/ft/ft_0BEC:ftCo_800BEFD0,,game_mapping,Occupies the camera-callback surface for the frozen Star KO death presentation while intentionally adding no state-specific camera behavior.,"The target is the empty companion immediately following DeadUpStarIce presentation setup. The main death subsystem establishes DeadUpStarIce as the frozen DeadUpStar state, and analogous death-state companion hooks are explicitly named as camera callbacks.",0.89,2026-09-04T18:43:08.250Z,ftCo_800BEFD0,main/melee/ft/ft_0BEC:ftCo_800BEFD0,main/melee/ft/ft_0BEC,function,current,,,,rationale
fact:07fc4e01-f4a2-413a-ab22-ec0be938eb65,target:function:main/melee/mn/mnnamenew:NameContainsOnlySpaces,,purpose,Determines whether the Name Entry editor's four-slot working name is visually blank because every slot is either empty or contains the encoded full-width-space character.,The predicate scans four three-byte slots and the current confirmation path rejects candidates when it returns true.,0.99,2026-09-05T15:27:59.311Z,NameContainsOnlySpaces,main/melee/mn/mnnamenew:NameContainsOnlySpaces,main/melee/mn/mnnamenew,function,current,,,,value
fact:08b8e34f-35c3-494c-bbcd-85c4163036f9,target:function:main/melee/ft/kinds/ftCommon/ftCo_ThrownKirby:ftCo_ThrownCopyStar_Anim,,purpose,"Provides the intentionally empty animation callback for the victim's ThrownCopyStar action state, satisfying that state's animation-callback slot while leaving all active handling to its other callbacks.","The complete matched definition is named as the ThrownCopyStar animation callback, accepts the fighter object used by fighter state callbacks, and has an empty body. It therefore supplies the callback entry point without performing animation-completion or per-frame work itself.",0.98,2026-09-02T03:54:03.719Z,ftCo_ThrownCopyStar_Anim,main/melee/ft/kinds/ftCommon/ftCo_ThrownKirby:ftCo_ThrownCopyStar_Anim,main/melee/ft/kinds/ftCommon/ftCo_ThrownKirby,function,current,,,,rationale
fact:08cfab64-6fa4-473d-8c77-4858bb300406,target:function:main/melee/it/kinds/itleadead:itLeadead_UnkMotion4_Phys,,game_mapping,"Implements a timed facing-directed locomotion phase of Melee's ReDead enemy, with a stationary lead-in, a sustained forward movement interval, and a stop. This structure is consistent with ReDead's documented approach-and-charge behavior, although the available source does not establish whether motion state 4 is specifically the charge rather than another movement phase.","The code demonstrates a delayed, bounded burst of forward movement in the Leadead actor. SmashWiki independently documents that ReDeads limp toward identified victims and then charge, supporting the behavioral correspondence while not proving the exact semantic name of numbered motion state 4.",0.82,2026-09-02T03:17:17.263Z,itLeadead_UnkMotion4_Phys,main/melee/it/kinds/itleadead:itLeadead_UnkMotion4_Phys,main/melee/it/kinds/itleadead,function,current,,,,rationale
fact:08f9714d-0ba6-453a-b81e-fc2865a12e78,target:function:main/melee/ft/kinds/ftCommon/ftCo_ShieldBreakFly:ftCo_ShieldBreakFly_IASA,,purpose,"Provides the ShieldBreakFly action state's intentionally inert IASA callback, occupying its per-frame interrupt-processing slot without accepting an input-driven action or initiating a state transition.","The complete definition is explicitly named as the ShieldBreakFly IASA callback and has an empty body. Semantically adjacent ShieldBreakFall, ShieldBreakDown, and ShieldBreakStand IASA callbacks have the same inert role throughout the forced shield-break sequence.",0.98,2026-09-02T03:29:06.503Z,ftCo_ShieldBreakFly_IASA,main/melee/ft/kinds/ftCommon/ftCo_ShieldBreakFly:ftCo_ShieldBreakFly_IASA,main/melee/ft/kinds/ftCommon/ftCo_ShieldBreakFly,function,current,,,,rationale
fact:09402698-87e2-4995-a759-7784b2cd9b80,target:function:main/melee/ft/kinds/ftPopo/ftpopo:ftPp_Init_OnLoad,,game_mapping,"Connects a loaded Popo fighter to the item-backed components of the Ice Climbers' Ice Shot neutral special, Blizzard down special, and rope-based Belay up special.","The implementation processes three resources whose kinds are named IceClimber_Ice, IceClimber_Blizzard, and IceClimber_GumStrings. SmashWiki independently identifies Ice Shot and Blizzard as the Ice Climbers' neutral and down specials, while its Belay material describes an up special in which the climbers are attached by a rope and records the Japanese move name as Rubber Jump; that combination grounds GumStrings as Belay's connecting rope resource.",0.95,2026-09-02T02:10:56.632Z,ftPp_Init_OnLoad,main/melee/ft/kinds/ftPopo/ftpopo:ftPp_Init_OnLoad,main/melee/ft/kinds/ftPopo/ftpopo,function,current,,,,rationale
fact:09758d12-dc39-458f-a3d4-0afb22f4ca7a,target:function:main/melee/gm/gmtou_0:fn_80195CCC,,purpose,"Handles controller input for assigning a saved player name to the currently selected Tournament Mode entrant. It moves a cursor through the available names, updates the entrant's previewed name index, accepts only an occupied name not already assigned to another entrant, or cancels and restores the entrant's prior value.","The matched body converts cursor and page fields into a name index, bounds navigation with GetNameCount, verifies occupancy with GetNameText, checks uniqueness against tournament data, and writes the chosen index into the active entrant record. The B path restores the backup field, and the fully resolved matching attempt independently characterizes the routine as the tournament name-selection handler with cursor, page, and duplicate-name logic.",0.99,2026-09-02T14:00:52.076Z,fn_80195CCC,main/melee/gm/gmtou_0:fn_80195CCC,main/melee/gm/gmtou_0,function,current,,,,value
fact:0a3a2b20-5885-4c13-8307-86d04bdc77de,target:function:main/melee/it/kinds/itstarrod:itStarRod_Logic22_Clanked,,game_mapping,Implements the Star Rod's clanking reaction while it is a released item: a thrown or dropped rod rebounds from the object or attack it clanks with rather than using this response while held or in unrelated states.,"The function is explicitly registered by name as the Star Rod's clank handler, and its state guard limits the generic bounce-off-victim response to the thrown and dropped motion states.",0.96,2026-09-02T01:19:08.540Z,itStarRod_Logic22_Clanked,main/melee/it/kinds/itstarrod:itStarRod_Logic22_Clanked,main/melee/it/kinds/itstarrod,function,current,,,,rationale
