id,target_id,entity_id,type,value,rationale,confidence,updated_at,symbol,stable_key,unit,target_kind,target_status,entity_kind,locator,entity_status,shape,candidate,evidence_count,flags
fact:0002e868-7edd-46a6-afb7-916dcee810d8,target:function:main/melee/it/kinds/itfflowerflame:itFflowerflame_UnkMotion3_Phys,,inferred_name,Likely `itFFlowerFlame_Dropped_Phys`.,"The named `itFFlowerFlame_Logic41_Dropped` callback selects the state associated with this animation/physics/collision callback set, and this function occupies that set's physics slot. The proposed name follows the unit's recovered `itFFlowerFlame_*` lifecycle naming and replaces the unresolved motion number with the evidenced dropped-state role.",0.91,2026-09-02T02:07:39.852Z,itFflowerflame_UnkMotion3_Phys,main/melee/it/kinds/itfflowerflame:itFflowerflame_UnkMotion3_Phys,main/melee/it/kinds/itfflowerflame,function,current,,,,prose_or_other,,1,
fact:000a304c-3aa2-45ad-a454-99f932f56b7b,target:function:main/melee/if/if_2FF2:un_802FF6A0,,inferred_name,Likely `ifCoGet_CreateLight`.,"The refreshed source retains the IfCoGet ownership stem, and the complete function exclusively constructs and registers an HSD light object. The exact original spelling remains unconfirmed.",0.7,2026-09-04T23:13:29.799Z,un_802FF6A0,main/melee/if/if_2FF2:un_802FF6A0,main/melee/if/if_2FF2,function,current,,,,prose_or_other,,2,
fact:00155d8b-74a3-4153-a42e-8147f53ff367,target:function:main/melee/gr/gricemt:fn_801F91A8,,inferred_name,A plausible original name is `grIceMt_GetNextFieldGObjId`.,"The head source retains the `grIceMt_` convention and `icemt_field` terminology, while the body still advances through `field_ixs` and returns the corresponding `gobj_id`.",0.72,2026-09-04T19:59:48.806Z,fn_801F91A8,main/melee/gr/gricemt:fn_801F91A8,main/melee/gr/gricemt,function,current,,,,prose_or_other,,2,
fact:0032cc62-acbc-4a4f-b4a5-687d2dc6c6fe,target:function:main/melee/if/ifcoget:fn_802FED14,,inferred_name,A plausible original-style name is `ifCoGet_Proc`.,"At head the constructor registers this function with `HSD_GObj_SetupProc` on the module's UI GObj, and the function performs recurring display updates. The exact suffix remains unrecovered, so this remains a moderate-confidence inference.",0.82,2026-09-04T20:19:10.384Z,fn_802FED14,main/melee/if/ifcoget:fn_802FED14,main/melee/if/ifcoget,function,current,,,,prose_or_other,,2,
fact:0033adc2-36bd-4a7e-84b1-2a3742fc71ea,target:function:main/melee/ft/kinds/ftMars/ftmarsspecials:ftMs_SpecialS_80137A68,,inferred_name,ftMs_SpecialS2_AttackBookkeeping,The callback is installed while entering the second strike and exclusively invokes attack-record and stale-instance bookkeeping helpers. The stage prefix and semantic suffix are plausible but remain inferential because no original symbol is recovered.,0.72,2026-09-04T19:23:55.005Z,ftMs_SpecialS_80137A68,main/melee/ft/kinds/ftMars/ftmarsspecials:ftMs_SpecialS_80137A68,main/melee/ft/kinds/ftMars/ftmarsspecials,function,current,,,,bare_identifier,ftMs_SpecialS2_AttackBookkeeping,4,
fact:003ab0f8-bc59-4aac-a3b0-a4cda1e0cddc,target:function:main/melee/it/kinds/itwhispyapple:it_802EEF10,,inferred_name,Likely original name: itWhispyApple_Logic18_Reflected.,"The local unit already names another item event entry point itWhispyApple_Logic18_EnteredAir, establishing the item prefix and Logic18 convention. The target has exactly the same wrapper shape as the explicitly named itBat_Logic11_Reflected callback, making the corresponding Reflected suffix strongly supported, although the precise capitalization and inclusion of Logic18 remain inferred.",0.9,2026-09-02T06:29:21.063Z,it_802EEF10,main/melee/it/kinds/itwhispyapple:it_802EEF10,main/melee/it/kinds/itwhispyapple,function,current,,,,prose_or_other,,3,
fact:003d557b-c355-461a-8e00-54fe420ad878,target:function:main/melee/gm/gmstamina:gm_801B931C,,inferred_name,gm_PrepStaminaVSScene,"The current state table assigns this function as Stamina's `GS_VS` entry callback, and its body prepares the complete `StartMeleeData` payload before gameplay.",0.75,2026-09-04T19:43:31.729Z,gm_801B931C,main/melee/gm/gmstamina:gm_801B931C,main/melee/gm/gmstamina,function,current,,,,bare_identifier,gm_PrepStaminaVSScene,2,
fact:0040ba54-d2cc-46c5-9133-0abac6c157a6,target:function:main/melee/gm/gmresult:fn_80174468,,inferred_name,Likely `gmResultPopulateStatsRow`.,"The function fills the authored label, optional secondary text, and numeric value of one already-created Results statistics row rather than allocating or positioning the row itself. The exact original suffix is not preserved.",0.78,2026-09-04T03:32:50.527Z,fn_80174468,main/melee/gm/gmresult:fn_80174468,main/melee/gm/gmresult,function,current,,,,prose_or_other,,2,
fact:00419aa4-5fff-4d98-9dd3-58b88b0fd365,target:function:main/melee/it/kinds/itegg:it_80288E6C,,inferred_name,"Likely `itEgg_UnkMotion0`, following the adjacent `itEgg_UnkMotion0_Anim`, `itEgg_UnkMotion0_Phys`, and `itEgg_UnkMotion0_Coll` callback family.","The relocated target selects state 0 immediately before the three callbacks carrying the `itEgg_UnkMotion0_*` stem. The current Yoshi's Egg analog has the same setup sequence and corresponding state-0 callback family, supporting the conservative recovered-style name.",0.84,2026-09-04T20:32:19.182Z,it_80288E6C,main/melee/it/kinds/itegg:it_80288E6C,main/melee/it/kinds/itegg,function,current,,,,prose_or_other,,2,
fact:0052089b-cd16-4812-81a1-eb54405a0943,target:function:main/melee/ft/ftbosslib:ftBossLib_8015C4C4,,inferred_name,Likely semantic name: ftBossLib_GetCrazyHandActionState.,"The routine is a parameterless getter specialized to FTKIND_CREZYH, and its callers interpret the returned enum-like value as an action or coordination phase. “ActionState” distinguishes this private selected state from the adjacent generic motion-ID query, although no surviving symbol confirms the exact original spelling.",0.75,2026-09-02T12:09:21.652Z,ftBossLib_8015C4C4,main/melee/ft/ftbosslib:ftBossLib_8015C4C4,main/melee/ft/ftbosslib,function,current,,,,prose_or_other,,2,
